# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン > ふくろう > 白鳥 > にわとり
すずめ,1,ペンギン,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > 白菜 > 玉ねぎ > ナス > ほうれん草 > かぼちゃ
もやし,1,きゅうり,2,白菜,3,玉ねぎ,4,ナス,5,ほうれん草,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > ナス > ほうれん草 > 白菜 > 玉ねぎ > きゅうり > もやし
かぼちゃ,1,ナス,2,ほうれん草,3,白菜,4,玉ねぎ,5,きゅうり,6,もやし,7
# 甘い,甘くない
# りんご > ぶどう > さくらんぼ > メロン > 柿 > イチゴ > みかん
りんご,1,ぶどう,2,さくらんぼ,3,メロン,4,柿,5,イチゴ,6,みかん,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > ライオン > 熊 > クジラ > ネズミ
犬,1,ライオン,2,熊,3,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア = ガーネット = ターコイズ > オパール
パール,1,サファイア,2,ガーネット,2,ターコイズ,2,オパール,5
# 珍しい,珍しくない
# オパール > サファイア = ガーネット = ターコイズ > パール
オパール,1,サファイア,2,ガーネット,2,ターコイズ,2,パール,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > フルート > チェロ > クラリネット
ハープ,1,ヴァイオリン,2,フルート,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# フルート > ハープ > ヴァイオリン > チェロ > クラリネット
フルート,1,ハープ,2,ヴァイオリン,3,チェロ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# ルノアール > サンマルク > コメダ > ドトール = タリーズ
ルノアール,1,サンマルク,2,コメダ,3,ドトール,4,タリーズ,4
# 高い,安い
# ルノアール > サンマルク > コメダ > ドトール = タリーズ
ルノアール,1,サンマルク,2,コメダ,3,ドトール,4,タリーズ,4
# 好調だ,不調だ
# キャノン > エプソン >> 日立製作所 > パナソニック > 富士通 > ソニー > 東芝
キャノン,1,エプソン,2,日立製作所,3,パナソニック,4,富士通,5,ソニー,6,東芝,7
# 新しい,古い
# キャノン = エプソン > ソニー = パナソニック = 東芝 = 富士通 > 日立製作所
キャノン,1,エプソン,1,ソニー,3,パナソニック,3,東芝,3,富士通,3,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > ロシア > スペイン > 中国 > インド > タイ
アメリカ,1,イギリス,2,ロシア,3,スペイン,4,中国,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア > アメリカ >> 中国 > スペイン = イギリス > タイ = インド
ロシア,1,アメリカ,2,中国,3,スペイン,4,イギリス,4,タイ,6,インド,6
# 暖かい,寒い
# タイ > インド = 中国 > イギリス = アメリカ > スペイン > ロシア
タイ,1,インド,2,中国,2,イギリス,4,アメリカ,4,スペイン,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > ヤマハ = マツダ = ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,3,ダイハツ,3
# 有名だ,無名だ
# トヨタ > ヤマハ > ホンダ > マツダ = ダイハツ
トヨタ,1,ヤマハ,2,ホンダ,3,マツダ,4,ダイハツ,4
# 美味しい,不味い
# チューハイ > ハイボール > 日本酒 > ウイスキー > ビール
チューハイ,1,ハイボール,2,日本酒,3,ウイスキー,4,ビール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ハイボール > ビール > チューハイ
ウイスキー,1,日本酒,2,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
# ハンバーガー > カレー > ラーメン > チャーハン > ピザ
ハンバーガー,1,カレー,2,ラーメン,3,チャーハン,4,ピザ,5
# 脂っこい,脂っこくない
# ラーメン > ピザ > ハンバーガー > チャーハン > カレー
ラーメン,1,ピザ,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 > エアコン > プリンタ > カメラ > カーナビ
洗濯機,1,エアコン,2,プリンタ,3,カメラ,4,カーナビ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ >> カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 雨 > 霜 > 霧 > 雷 > 強風
晴天,1,雪,2,雨,3,霜,4,霧,5,雷,6,強風,7
# 珍しい,珍しくない
# 霧 > 雷 > 霜 > 雪 > 強風 > 雨 > 晴天
霧,1,雷,2,霜,3,雪,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 = 豚肉 = 鶏肉 = ラム肉 = 馬肉
牛肉,1,豚肉,1,鶏肉,1,ラム肉,1,馬肉,1
# 高価だ,安価だ
# ラム肉 > 馬肉 > 牛肉 > 豚肉 > 鶏肉
ラム肉,1,馬肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 善光寺 = 薬師寺 = 増上寺 = 東寺
銀閣寺,1,中尊寺,2,善光寺,3,薬師寺,3,増上寺,3,東寺,3
# 立派だ,立派でない
# 銀閣寺 > 中尊寺 > 善光寺 = 薬師寺 = 増上寺 = 東寺
銀閣寺,1,中尊寺,2,善光寺,3,薬師寺,3,増上寺,3,東寺,3
# メジャーだ,マイナーだ
# 野球 > サッカー > バスケ > テニス > バレー > 卓球 > 相撲
野球,1,サッカー,2,バスケ,3,テニス,4,バレー,5,卓球,6,相撲,7
# 得意だ,苦手だ
# テニス > 卓球 >> バスケ = バレー = サッカー = 野球 >> 相撲
テニス,1,卓球,2,バスケ,3,バレー,3,サッカー,3,野球,3,相撲,7
# 快適だ,不快だ
# 新幹線 > 飛行機 > タクシー > バス > 電車
新幹線,1,飛行機,2,タクシー,3,バス,4,電車,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 > バス > タクシー > 電車 > 新幹線
飛行機,1,バス,2,タクシー,3,電車,4,新幹線,5
# 可愛い,可愛くない
# 北乃きい > 優香 > 釈由美子 > 南明奈 > 吹石一恵 >> 梨花 > 友近
