# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう >> すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > 白鳥 > すずめ > にわとり
ペンギン,1,ふくろう,2,白鳥,3,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > かぼちゃ > 玉ねぎ = 白菜 > ナス > きゅうり = もやし
ほうれん草,1,かぼちゃ,2,玉ねぎ,3,白菜,3,ナス,5,きゅうり,6,もやし,6
# 美味しい,不味い
# ナス = かぼちゃ > ほうれん草 = 玉ねぎ > 白菜 = きゅうり > もやし
ナス,1,かぼちゃ,1,ほうれん草,3,玉ねぎ,3,白菜,5,きゅうり,5,もやし,7
# 甘い,甘くない
# メロン > イチゴ > ぶどう > みかん > 柿 > さくらんぼ > りんご
メロン,1,イチゴ,2,ぶどう,3,みかん,4,柿,5,さくらんぼ,6,りんご,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 >> クジラ >> ライオン > 熊 > ネズミ
犬,1,クジラ,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア = オパール = ガーネット > ターコイズ
パール,1,サファイア,2,オパール,2,ガーネット,2,ターコイズ,5
# 珍しい,珍しくない
# オパール > サファイア = ガーネット > パール > ターコイズ
オパール,1,サファイア,2,ガーネット,2,パール,4,ターコイズ,5
# 優雅だ,優雅でない
# チェロ > フルート = クラリネット > ヴァイオリン > ハープ
チェロ,1,フルート,2,クラリネット,2,ヴァイオリン,4,ハープ,5
# 心地よい,不快だ
# チェロ > フルート = ヴァイオリン > クラリネット > ハープ
チェロ,1,フルート,2,ヴァイオリン,2,クラリネット,4,ハープ,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 美味しい,不味い
# タリーズ = コメダ > ルノアール > ドトール = サンマルク
タリーズ,1,コメダ,1,ルノアール,3,ドトール,4,サンマルク,4
# 高い,安い
# ルノアール >> タリーズ > コメダ = ドトール = サンマルク
ルノアール,1,タリーズ,2,コメダ,3,ドトール,3,サンマルク,3
# 好調だ,不調だ
# キャノン = エプソン > パナソニック = 富士通 = 日立製作所 > ソニー >> 東芝
キャノン,1,エプソン,1,パナソニック,3,富士通,3,日立製作所,3,ソニー,6,東芝,7
# 新しい,古い
# エプソン > キャノン > 富士通 = ソニー > パナソニック = 東芝 = 日立製作所
エプソン,1,キャノン,2,富士通,3,ソニー,3,パナソニック,5,東芝,5,日立製作所,5
# 裕福だ,貧乏だ
# アメリカ > イギリス > 中国 > ロシア = スペイン > タイ > インド
アメリカ,1,イギリス,2,中国,3,ロシア,4,スペイン,4,タイ,6,インド,7
# 広大だ,せまい
# 中国 > ロシア > アメリカ > インド > スペイン > イギリス > タイ
中国,1,ロシア,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# インド > タイ > スペイン > アメリカ > 中国 > イギリス > ロシア
インド,1,タイ,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > ダイハツ > マツダ > ヤマハ
トヨタ,1,ホンダ,2,ダイハツ,3,マツダ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > マツダ > ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# ビール > チューハイ > ウイスキー = 日本酒 > ハイボール
ビール,1,チューハイ,2,ウイスキー,3,日本酒,3,ハイボール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン > チャーハン = カレー > ピザ = ハンバーガー
ラーメン,1,チャーハン,2,カレー,2,ピザ,4,ハンバーガー,4
# 脂っこい,脂っこくない
# ラーメン = チャーハン > カレー = ピザ > ハンバーガー
ラーメン,1,チャーハン,1,カレー,3,ピザ,3,ハンバーガー,5
# 高価だ,安価だ
# カメラ > エアコン > カーナビ > 洗濯機 > プリンタ
カメラ,1,エアコン,2,カーナビ,3,洗濯機,4,プリンタ,5
# うるさい,静かだ
# カーナビ > 洗濯機 > プリンタ > エアコン > カメラ
カーナビ,1,洗濯機,2,プリンタ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 >> 雪 > 霜 > 雷 > 霧 > 雨 > 強風
晴天,1,雪,2,霜,3,雷,4,霧,5,雨,6,強風,7
# 珍しい,珍しくない
# 霧 > 霜 > 雷 > 強風 > 雪 > 晴天 > 雨
霧,1,霜,2,雷,3,強風,4,雪,5,晴天,6,雨,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > 鶏肉 > ラム肉 >> 馬肉
牛肉,1,豚肉,2,鶏肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 >> 東寺 = 薬師寺 = 中尊寺 > 増上寺 = 善光寺
銀閣寺,1,東寺,2,薬師寺,2,中尊寺,2,増上寺,5,善光寺,5
# 立派だ,立派でない
# 銀閣寺 > 善光寺 = 薬師寺 = 中尊寺 = 東寺 > 増上寺
銀閣寺,1,善光寺,2,薬師寺,2,中尊寺,2,東寺,2,増上寺,6
# メジャーだ,マイナーだ
# サッカー > 野球 >> テニス > バスケ = バレー > 相撲 = 卓球
サッカー,1,野球,2,テニス,3,バスケ,4,バレー,4,相撲,6,卓球,6
# 得意だ,苦手だ
# バスケ = テニス = バレー = サッカー > 卓球 = 野球 > 相撲
