# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ > 白鳥 > ふくろう > にわとり
ペンギン,1,すずめ,2,白鳥,3,ふくろう,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# 玉ねぎ > もやし > ほうれん草 > かぼちゃ > 白菜 > ナス > きゅうり
玉ねぎ,1,もやし,2,ほうれん草,3,かぼちゃ,4,白菜,5,ナス,6,きゅうり,7
# 美味しい,不味い
# 白菜 > ナス > 玉ねぎ > もやし > ほうれん草 > かぼちゃ > きゅうり
白菜,1,ナス,2,玉ねぎ,3,もやし,4,ほうれん草,5,かぼちゃ,6,きゅうり,7
# 甘い,甘くない
# メロン > 柿 > イチゴ > ぶどう > さくらんぼ > りんご > みかん
メロン,1,柿,2,イチゴ,3,ぶどう,4,さくらんぼ,5,りんご,6,みかん,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > 熊 > ライオン > ネズミ
犬,1,クジラ,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > ガーネット > ターコイズ > サファイア
パール,1,オパール,2,ガーネット,3,ターコイズ,4,サファイア,5
# 珍しい,珍しくない
# サファイア > ガーネット > ターコイズ > オパール > パール
サファイア,1,ガーネット,2,ターコイズ,3,オパール,4,パール,5
# 優雅だ,優雅でない
# ハープ > チェロ > ヴァイオリン > フルート > クラリネット
ハープ,1,チェロ,2,ヴァイオリン,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート > クラリネット > ヴァイオリン > チェロ
ハープ,1,フルート,2,クラリネット,3,ヴァイオリン,4,チェロ,5
# 綺麗だ,醜い
# サクラ > すずらん > ひまわり > 桔梗 > たんぽぽ
サクラ,1,すずらん,2,ひまわり,3,桔梗,4,たんぽぽ,5
# 好きだ,嫌いだ
# すずらん > サクラ > ひまわり > 桔梗 > たんぽぽ
すずらん,1,サクラ,2,ひまわり,3,桔梗,4,たんぽぽ,5
# 美味しい,不味い
# タリーズ > サンマルク > ルノアール > ドトール > コメダ
タリーズ,1,サンマルク,2,ルノアール,3,ドトール,4,コメダ,5
# 高い,安い
# サンマルク = タリーズ > コメダ = ルノアール > ドトール
サンマルク,1,タリーズ,1,コメダ,3,ルノアール,3,ドトール,5
# 好調だ,不調だ
# 日立製作所 > パナソニック > キャノン > エプソン > 富士通 > ソニー > 東芝
