# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう >> 白鳥 > すずめ > にわとり
ペンギン,1,ふくろう,2,白鳥,3,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# きゅうり > ほうれん草 = 白菜 > もやし > 玉ねぎ > ナス >> かぼちゃ
きゅうり,1,ほうれん草,2,白菜,2,もやし,4,玉ねぎ,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# 玉ねぎ > 白菜 = ナス > ほうれん草 = きゅうり > かぼちゃ > もやし
玉ねぎ,1,白菜,2,ナス,2,ほうれん草,4,きゅうり,4,かぼちゃ,6,もやし,7
# 甘い,甘くない
# メロン > ぶどう > さくらんぼ > 柿 > イチゴ > みかん > りんご
メロン,1,ぶどう,2,さくらんぼ,3,柿,4,イチゴ,5,みかん,6,りんご,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > さくらんぼ > ぶどう
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,さくらんぼ,6,ぶどう,7
# かしこい,ばかだ
# 犬 > クジラ > ライオン > 熊 > ネズミ
犬,1,クジラ,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア = オパール = ガーネット > パール > ターコイズ
サファイア,1,オパール,1,ガーネット,1,パール,4,ターコイズ,5
# 珍しい,珍しくない
# ガーネット = サファイア > オパール = ターコイズ > パール
ガーネット,1,サファイア,1,オパール,3,ターコイズ,3,パール,5
# 優雅だ,優雅でない
# ヴァイオリン > ハープ > チェロ = フルート >> クラリネット
ヴァイオリン,1,ハープ,2,チェロ,3,フルート,3,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン >> ハープ = フルート > チェロ > クラリネット
ヴァイオリン,1,ハープ,2,フルート,2,チェロ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり >> たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ >> ひまわり > 桔梗 > すずらん > たんぽぽ
サクラ,1,ひまわり,2,桔梗,3,すずらん,4,たんぽぽ,5
# 美味しい,不味い
# コメダ > ドトール > サンマルク = ルノアール = タリーズ
コメダ,1,ドトール,2,サンマルク,3,ルノアール,3,タリーズ,3
# 高い,安い
# ルノアール > ドトール = サンマルク = タリーズ > コメダ
ルノアール,1,ドトール,2,サンマルク,2,タリーズ,2,コメダ,5
# 好調だ,不調だ
# ソニー > キャノン > パナソニック > 富士通 = エプソン = 日立製作所 >> 東芝
ソニー,1,キャノン,2,パナソニック,3,富士通,4,エプソン,4,日立製作所,4,東芝,7
# 新しい,古い
# パナソニック >> エプソン > ソニー = キャノン > 東芝 = 富士通 = 日立製作所
パナソニック,1,エプソン,2,ソニー,3,キャノン,3,東芝,5,富士通,5,日立製作所,5
# 裕福だ,貧乏だ
# アメリカ >> イギリス > 中国 > スペイン = ロシア > タイ = インド
アメリカ,1,イギリス,2,中国,3,スペイン,4,ロシア,4,タイ,6,インド,6
# 広大だ,せまい
# 中国 > ロシア > アメリカ > インド > タイ > スペイン > イギリス
中国,1,ロシア,2,アメリカ,3,インド,4,タイ,5,スペイン,6,イギリス,7
# 暖かい,寒い
# インド > タイ > 中国 = アメリカ > スペイン > イギリス >> ロシア
インド,1,タイ,2,中国,3,アメリカ,3,スペイン,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ >> マツダ > ダイハツ >> ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ >> ホンダ > マツダ >> ダイハツ = ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,4
# 美味しい,不味い
# ビール >> ウイスキー = 日本酒 = ハイボール > チューハイ
ビール,1,ウイスキー,2,日本酒,2,ハイボール,2,チューハイ,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ハイボール >> ビール = チューハイ
ウイスキー,1,日本酒,2,ハイボール,3,ビール,4,チューハイ,4
# 好きだ,嫌いだ
# ラーメン >> チャーハン > ハンバーガー > カレー > ピザ
ラーメン,1,チャーハン,2,ハンバーガー,3,カレー,4,ピザ,5
# 脂っこい,脂っこくない
# ハンバーガー > ピザ > ラーメン = チャーハン > カレー
ハンバーガー,1,ピザ,2,ラーメン,3,チャーハン,3,カレー,5
# 高価だ,安価だ
# エアコン > カメラ > 洗濯機 > カーナビ > プリンタ
エアコン,1,カメラ,2,洗濯機,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 >> プリンタ > カメラ > エアコン > カーナビ
洗濯機,1,プリンタ,2,カメラ,3,エアコン,4,カーナビ,5
# 好きだ,嫌いだ
# 晴天 >> 雨 = 強風 = 雪 = 霧 = 霜 > 雷
晴天,1,雨,2,強風,2,雪,2,霧,2,霜,2,雷,7
# 珍しい,珍しくない
# 霧 = 霜 > 雷 > 雪 > 雨 = 強風 > 晴天
霧,1,霜,1,雷,3,雪,4,雨,5,強風,5,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 = 鶏肉 >> ラム肉 = 馬肉
牛肉,1,豚肉,2,鶏肉,2,ラム肉,4,馬肉,4
# 高価だ,安価だ
# 馬肉 > 牛肉 > ラム肉 > 豚肉 > 鶏肉
馬肉,1,牛肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 >> 善光寺 = 薬師寺 = 中尊寺 > 増上寺 = 東寺
銀閣寺,1,善光寺,2,薬師寺,2,中尊寺,2,増上寺,5,東寺,5
# 立派だ,立派でない
# 銀閣寺 > 中尊寺 > 薬師寺 > 増上寺 = 善光寺 > 東寺
銀閣寺,1,中尊寺,2,薬師寺,3,増上寺,4,善光寺,4,東寺,6
# メジャーだ,マイナーだ
# サッカー >> バスケ = テニス > 卓球 = バレー > 野球 > 相撲
サッカー,1,バスケ,2,テニス,2,卓球,4,バレー,4,野球,6,相撲,7
# 得意だ,苦手だ
# サッカー >> 野球 = バスケ = バレー > テニス = 卓球 > 相撲
